Starting price: $10.00
On day 1 $10.74
On day 2 $11.33
On day 3 $12.72
On day 4 $12.16
On day 5 $13.01
On day 6 $14.60
On day 7 $14.14
On day 8 $15.49
On day 9 $16.08
On day 10 $17.00
On day 11 $19.15
On day 12 $18.74
On day 13 $20.46
On day 14 $20.27
On day 15 $19.48
On day 16 $18.61
On day 17 $17.78
On day 18 $20.14
On day 19 $22.66
On day 20 $21.72
On day 21 $21.43
On day 22 $22.35
On day 23 $21.54
On day 24 $23.44
On day 25 $25.63
On day 26 $24.40
On day 27 $23.58
On day 28 $23.56
On day 29 $26.63
On day 30 $31.07
On day 31 $31.79
On day 32 $30.83
On day 33 $32.29
On day 34 $36.27
On day 35 $37.06
On day 36 $39.07
On day 37 $38.68
On day 38 $40.23
On day 39 $39.01
On day 40 $37.13
On day 41 $36.18
On day 42 $35.59
On day 43 $40.92
On day 44 $38.99
On day 45 $38.82
On day 46 $37.68
On day 47 $39.09
On day 48 $45.33
On day 49 $46.44
On day 50 $44.84
On day 51 $47.58
On day 52 $51.47
On day 53 $52.49
On day 54 $51.77
On day 55 $51.45
On day 56 $53.73
On day 57 $57.30
On day 58 $64.08
On day 59 $63.67
On day 60 $69.88
On day 61 $67.75
On day 62 $65.70
On day 63 $64.34
On day 64 $61.34
On day 65 $59.06
On day 66 $60.15
On day 67 $64.83
On day 68 $66.51
On day 69 $75.09
On day 70 $84.34
On day 71 $85.75
On day 72 $82.88
On day 73 $83.96
On day 74 $83.61
On day 75 $81.26
On day 76 $79.19
On day 77 $75.33
On day 78 $83.15
On day 79 $81.76
On day 80 $78.44
On day 81 $91.68
On day 82 $99.78
On day 83 $98.53
On day 84 $104.89
